molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL2093007,C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O,100000.0,inactive
CHEMBL343448,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,14000.0,inactive
CHEMBL146250,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,790.0,active
CHEMBL197774,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2=O)NO,709.0,active
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,91.0,active
CHEMBL213934,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,29.0,active
CHEMBL209551,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCC1,36.0,active
CHEMBL379049,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCCC1,23.0,active
CHEMBL216641,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,45.0,active
CHEMBL217651,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,13.0,active
CHEMBL389687,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,7.5,active
CHEMBL180064,CN(C)c1ccc(C(=O)NCCCNC(=O)CS)cc1,216.0,active
CHEMBL427510,CN(C)c1ccc(C(=O)NCCCCNC(=O)CS)cc1,620.0,active
CHEMBL180911,CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1,114.0,active
