,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL2093007,C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O,inactive,569.7900000000003,2.8512000000000004,3.0,8.0,4.0
1,CHEMBL343448,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,inactive,540.7080000000002,1.4296000000000009,4.0,8.0,4.853871964321762
2,CHEMBL146250,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,active,542.7240000000003,0.8942000000000003,6.0,8.0,6.102372908709558
3,CHEMBL197774,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2=O)NO,active,322.32000000000005,2.0014,2.0,4.0,6.149353764816934
4,CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,active,302.374,2.579300000000001,2.0,4.0,7.040958607678906
5,CHEMBL213934,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,active,344.52100000000013,3.428700000000002,3.0,4.0,7.5376020021010435
6,CHEMBL209551,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCC1,active,358.5480000000002,3.818800000000003,3.0,4.0,7.443697499232712
7,CHEMBL379049,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCCC1,active,372.5750000000002,4.208900000000003,3.0,4.0,7.638272163982407
8,CHEMBL216641,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,active,623.7540000000002,5.4753200000000035,6.0,5.0,7.346787486224656
9,CHEMBL217651,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,active,470.6390000000001,4.257200000000003,2.0,6.0,7.886056647693163
10,CHEMBL389687,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,active,502.61500000000035,4.646600000000003,5.0,5.0,8.1249387366083
11,CHEMBL180064,CN(C)c1ccc(C(=O)NCCCNC(=O)CS)cc1,active,295.4079999999999,0.9185000000000001,3.0,4.0,6.665546248849069
12,CHEMBL427510,CN(C)c1ccc(C(=O)NCCCCNC(=O)CS)cc1,active,309.4349999999999,1.3085999999999998,3.0,4.0,6.2076083105017466
13,CHEMBL180911,CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1,active,323.46199999999993,1.6986999999999997,3.0,4.0,6.943095148663527
14,CHEMBL387924,O=C(CCCCCCC(=O)Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)NO,active,392.4370000000001,3.5028000000000015,3.0,7.0,8.431798275933005
15,CHEMBL227170,N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,active,518.6140000000004,4.3522000000000025,6.0,6.0,8.045757490560675
16,CHEMBL389688,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,active,541.6520000000005,5.127900000000004,6.0,5.0,8.267606240177031
17,CHEMBL440018,CN(C)c1ccc(C(=O)NCCCCCCNC(=O)CS)cc1,active,337.489,2.0887999999999995,3.0,4.0,6.31695296176115
18,CHEMBL427135,O=C(CS)NCCCCCCNC(=O)Nc1ccccc1,intermediate,309.435,2.4145000000000003,4.0,3.0,5.696803942579511
19,CHEMBL227120,CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1,active,322.40899999999993,2.33,4.0,4.0,7.462180904926726
20,CHEMBL227119,CN(C)c1ccc(CNC(=O)NCCC(=O)NO)cc1,active,280.328,0.44730000000000103,4.0,4.0,7.341988603342887
21,CHEMBL227118,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NO,active,323.4370000000001,2.3202,4.0,3.0,6.991399828238082
22,CHEMBL178456,O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12,active,331.44100000000003,2.779700000000001,3.0,4.0,7.020907099361674
23,CHEMBL236902,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,inactive,445.52300000000025,3.7634000000000025,2.0,6.0,4.301029995663981
24,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,active,264.32500000000005,2.4711,3.0,3.0,6.707743928643524
25,CHEMBL235300,CC(=O)SCC/C=C/[C@@H]1CC(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C(C)C)C(=O)NCC(=O)O1,inactive,498.60200000000026,-0.20569999999999483,4.0,8.0,5.0
26,CHEMBL393361,CC(C)[C@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)CNC1=O,intermediate,456.56500000000017,-0.5555999999999968,5.0,7.0,5.307858390633216
27,CHEMBL235082,CC(C)[C@H]1NC(=O)C[C@H]2/C=C/CCSSC[C@@H](NC1=O)C(=O)N[C@H](C(C)C)C(=O)NCC(=O)O2,active,514.6700000000003,0.525800000000002,4.0,8.0,6.047207556955908
28,CHEMBL393360,CC(C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C)C(=O)N2)OC(=O)CNC1=O,active,486.61600000000027,-0.11029999999999757,4.0,8.0,6.055024091587952
29,CHEMBL251144,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2ccccc2)C(=O)Nc2ccccc2)cc1,inactive,464.5250000000001,4.882100000000003,4.0,4.0,5.0
30,CHEMBL247217,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2)NO,active,308.33700000000005,2.3612,2.0,3.0,6.638272163982407
31,CHEMBL246199,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccc(-c3ccncc3)cc1)C2)NO,inactive,385.42300000000006,3.4232000000000005,2.0,4.0,4.823908740944319
32,CHEMBL247654,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccc(-c3cccnc3)cc1)C2)NO,active,385.42300000000006,3.4232000000000005,2.0,4.0,6.552841968657781
33,CHEMBL247653,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccc(-c3ccccc3)cc1)C2)NO,active,384.43500000000006,4.028200000000003,2.0,3.0,6.1249387366083
34,CHEMBL247218,CC(C)(C)c1ccc(CN2Cc3ccc(/C=C/C(=O)NO)cc3C2=O)cc1,active,364.44500000000005,3.6587000000000023,2.0,3.0,6.00436480540245
35,CHEMBL404172,O=C1N[C@@H]2CCCCCCCCCCCC[C@H](NC2=O)C(=O)N2CCC[C@@H]2C(=O)N[C@H]1CCCCCSSc1ccccn1,intermediate,645.9360000000004,5.536100000000005,3.0,7.0,5.309803919971486
36,CHEMBL401837,CCCC[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,active,563.7900000000001,3.4415000000000013,3.0,7.0,6.552841968657781
37,CHEMBL253308,CC[C@H](C)[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,active,563.7900000000001,3.2974000000000006,3.0,7.0,6.508638306165727
38,CHEMBL253309,CC(C)C[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,active,563.7900000000001,3.2974000000000006,3.0,7.0,6.638272163982407
39,CHEMBL238596,C[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,active,521.7090000000002,2.2711999999999994,3.0,7.0,6.366531544420414
40,CHEMBL238829,CC1(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,active,597.8070000000004,3.4940000000000015,3.0,7.0,6.393618634889395
41,CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,inactive,376.4160000000001,3.342500000000001,3.0,5.0,4.301029995663981
42,CHEMBL398884,O=C(Nc1cc(-c2ccccc2)ccc1O)c1cccs1,inactive,295.363,4.373000000000003,2.0,3.0,4.301029995663981
43,CHEMBL253868,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,inactive,452.51400000000024,5.009500000000004,3.0,5.0,4.301029995663981
44,CHEMBL235674,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,inactive,458.54300000000023,5.071000000000003,3.0,6.0,4.301029995663981
45,CHEMBL398420,COC(=O)NCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,inactive,375.42800000000005,4.044100000000002,3.0,4.0,4.301029995663981
46,CHEMBL399494,CCOC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,inactive,395.4840000000001,4.495700000000003,3.0,5.0,4.301029995663981
47,CHEMBL400721,COC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,inactive,381.45700000000005,4.105600000000002,3.0,5.0,4.301029995663981
48,CHEMBL272401,CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,active,442.6290000000001,4.688100000000004,2.0,6.0,7.886056647693163
49,CHEMBL270224,[N-]=[N+]=Nc1ccc(C(=O)NC(CCCCNC(=O)CCCCC2SCC3NC(=O)NC32)C(=O)NCCSSCCC(=O)NCCCCCCN(CCc2c[nH]c3ccccc23)Cc2ccc(/C=C/C(=O)NO)cc2)cc1,active,1097.4479999999994,8.048200000000008,9.0,12.0,7.008773924307505
50,CHEMBL1791401,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2cn(CC(=O)NCCCCCCNC(=O)CCSSCCNC(=O)C(CCCCNC(=O)CCCCC3SCC4NC(=O)NC43)NC(=O)c3ccc(N=[N+]=[N-])cc3)c3ccccc23)NC1=O,active,1412.8619999999994,7.441800000000016,10.0,16.0,6.638272163982407
51,CHEMBL115011,O=C(CCCCCCC(=O)C(F)(F)F)Nc1cccc(-c2ccccc2)c1,intermediate,377.40600000000006,5.764100000000004,1.0,2.0,5.769551078621726
52,CHEMBL430060,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,intermediate,623.7950000000003,3.067000000000003,3.0,7.0,5.366531544420414
53,CHEMBL408513,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,active,318.354,2.0060000000000002,3.0,4.0,7.823908740944319
54,CHEMBL356066,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,active,379.46000000000004,2.7235000000000005,4.0,4.0,8.080921907623926
55,CHEMBL406927,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1,active,495.02300000000025,5.954120000000005,3.0,4.0,6.013228265733755
56,CHEMBL407959,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3ncc(-c4ccccc4)[nH]3)c2c1,active,486.6160000000002,5.814520000000005,3.0,4.0,6.468521082957745
57,CHEMBL260653,NCCCn1cc(CNc2ccc(C(=O)NCCCCCCC(=O)NO)cc2)nn1,active,417.5140000000002,1.4246999999999994,5.0,8.0,7.294136287716081
58,CHEMBL86537,O=C1CCc2c(ccc3ccccc23)O1,inactive,198.221,2.6914000000000007,0.0,2.0,4.1249387366083
59,CHEMBL506834,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,active,1035.3309999999994,4.185500000000011,7.0,19.0,7.107905397309519
60,CHEMBL504040,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,active,877.1340000000002,3.2603000000000066,7.0,16.0,6.930331903088404
61,CHEMBL455735,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,active,1034.2989999999995,4.72450000000001,6.0,19.0,7.049148541111453
62,CHEMBL472250,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,active,876.1020000000003,3.7993000000000055,6.0,16.0,6.828273546346769
63,CHEMBL468513,CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,active,460.6220000000001,5.268500000000005,2.0,4.0,8.0
64,CHEMBL467678,CCC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,active,474.6490000000002,5.658600000000005,2.0,4.0,6.096910013008056
65,CHEMBL487143,CCCC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,intermediate,488.6760000000002,6.048700000000006,2.0,4.0,5.853871964321762
66,CHEMBL486324,CCCCC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,intermediate,502.7030000000002,6.438800000000007,2.0,4.0,5.455931955649724
67,CHEMBL490018,CC(/C=C/c1ccccc1)=C\C(=O)NCCCCCC(=O)NO,active,316.401,2.8281,3.0,3.0,8.455931955649724
68,CHEMBL484073,O=C(/C=C/c1ccc2cccnc2c1)NCCCCCC(=O)NO,active,327.384,2.4299999999999997,3.0,4.0,8.468521082957745
69,CHEMBL485514,O=C(C=C1c2ccccc2-c2ccccc21)NCCCCCC(=O)NO,active,350.4180000000001,3.2807000000000004,3.0,3.0,8.698970004336019
70,CHEMBL484489,O=C(/C=C/c1ccc(Cl)cc1F)NCCCCCC(=O)NO,active,328.771,2.6742999999999997,3.0,3.0,8.602059991327963
71,CHEMBL487107,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2CC(O)c2cccc(Br)c2)c1)NO,active,530.4230000000002,4.225700000000002,4.0,7.0,8.55284196865778
72,CHEMBL520056,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2-c2ccccc2)c1)NO,active,407.4740000000001,3.7188000000000017,3.0,6.0,8.1249387366083
73,CHEMBL487106,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2Cc2ccc(F)cc2)c1)NO,active,439.49100000000016,3.9170000000000016,3.0,6.0,8.42021640338319
74,CHEMBL488747,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2Cc2ccccc2)c1)NO,active,421.50100000000015,3.7779000000000016,3.0,6.0,8.481486060122112
75,CHEMBL487943,O=C(CCCCCCC(=O)Nc1ccc(-c2cnnn2CC(O)c2cccc(Br)c2)cc1)NO,active,530.4230000000002,4.225700000000002,4.0,7.0,8.3767507096021
76,CHEMBL487742,O=C(CCCCCCC(=O)Nc1ccc(-c2cnnn2-c2ccccc2)cc1)NO,active,407.4740000000001,3.7188000000000017,3.0,6.0,8.455931955649724
77,CHEMBL487741,O=C(CCCCCCC(=O)Nc1ccc(-c2cnnn2Cc2ccc(F)cc2)cc1)NO,active,439.49100000000016,3.9170000000000016,3.0,6.0,8.136677139879543
78,CHEMBL519746,O=C(CCCCCCC(=O)Nc1ccc(-c2cnnn2Cc2ccccc2)cc1)NO,active,421.50100000000015,3.7779000000000016,3.0,6.0,8.508638306165727
79,CHEMBL483893,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)c1)NO,active,530.4230000000002,4.225700000000002,4.0,7.0,8.721246399047171
80,CHEMBL519668,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1)NO,active,407.4740000000001,3.7188000000000008,3.0,6.0,8.017728766960431
81,CHEMBL483892,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(F)cc3)nn2)c1)NO,active,439.49100000000016,3.9170000000000016,3.0,6.0,8.585026652029182
82,CHEMBL483693,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccccc3)nn2)c1)NO,active,421.50100000000015,3.7779000000000007,3.0,6.0,8.508638306165727
83,CHEMBL483495,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)cc1)NO,active,530.4230000000002,4.225700000000002,4.0,7.0,8.356547323513812
84,CHEMBL519491,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(-c3ccccc3)nn2)cc1)NO,active,407.4740000000001,3.7188000000000008,3.0,6.0,8.886056647693163
85,CHEMBL483494,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1)NO,active,439.49100000000016,3.9170000000000016,3.0,6.0,8.721246399047171
86,CHEMBL487533,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(Cc3ccccc3)nn2)cc1)NO,active,421.50100000000015,3.7779000000000016,3.0,6.0,8.318758762624412
87,CHEMBL496703,CCOC(=O)c1ccc(C(=O)C(F)(F)F)o1,active,236.14499999999992,2.2013000000000007,0.0,4.0,6.259637310505756
88,CHEMBL447397,CCOC(=O)c1ccc(C(=O)C(F)(F)F)s1,active,252.21299999999994,2.6698000000000013,0.0,4.0,6.259637310505756
89,CHEMBL248486,O=C(NCC1CCCCC1)c1ccc(C(=O)C(F)(F)F)cc1,intermediate,313.31899999999996,3.7417000000000025,1.0,2.0,5.6020599913279625
90,CHEMBL493785,O=C(NCC1CCCCC1)c1cccc(C(=O)C(F)(F)F)c1,intermediate,313.31899999999996,3.7417000000000025,1.0,2.0,5.376750709602099
91,CHEMBL493784,O=C(c1ccc(C(=O)C(F)(F)F)[nH]1)N1CCc2ccccc21,active,308.25899999999996,2.962600000000001,1.0,2.0,6.055517327849832
92,CHEMBL524024,O=C(NCC1CCCCC1)c1cnc(C(=O)C(F)(F)F)s1,intermediate,320.33599999999996,3.1982000000000017,1.0,4.0,5.823908740944319
93,CHEMBL493783,CN(Cc1ccccc1)C(=O)c1cnc(C(=O)C(F)(F)F)s1,intermediate,328.31499999999994,3.160300000000002,0.0,4.0,5.886056647693163
94,CHEMBL494990,O=C(NCC1CCCCC1)c1cc(C(=O)C(F)(F)F)cs1,intermediate,319.34799999999996,3.803200000000003,1.0,3.0,5.698970004336019
95,CHEMBL493782,CN(Cc1ccccc1)C(=O)c1cc(C(=O)C(F)(F)F)cs1,active,327.32699999999994,3.7653000000000025,0.0,3.0,6.1938200260161125
96,CHEMBL494813,CN(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)C(F)(F)F)s1,active,363.38199999999995,3.3138000000000023,0.0,4.0,6.136677139879544
97,CHEMBL502752,CN(Cc1ccccc1)S(=O)(=O)c1csc(C(=O)C(F)(F)F)c1,intermediate,363.382,3.3138000000000023,0.0,4.0,5.6020599913279625
98,CHEMBL496512,COc1ccc(COCc2ccc(C(=O)C(F)(F)F)s2)cc1,active,330.327,4.218500000000002,0.0,4.0,6.3872161432802645
99,CHEMBL494645,C[C@@H](NCc1ccc(C(=O)C(F)(F)F)s1)c1ccccc1,active,313.34399999999994,4.343900000000003,1.0,3.0,6.075720713938118
100,CHEMBL496511,CN(Cc1ccccc1)Cc1ccc(C(=O)C(F)(F)F)s1,active,313.34399999999994,4.125100000000003,0.0,3.0,6.309803919971486
101,CHEMBL497760,O=C(c1ccc(C(=O)N2CCc3ccccc32)s1)C(F)F,active,307.32099999999997,3.3988000000000023,0.0,3.0,7.823908740944319
102,CHEMBL496924,CC(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2)s1,intermediate,273.35699999999997,3.4417000000000018,1.0,3.0,5.161150909262744
103,CHEMBL496094,O=C(c1ccc(C(=O)C(F)(F)F)s1)N1CCn2c(-c3ccccc3)cnc2C1,active,405.40100000000007,4.012600000000003,0.0,5.0,6.508638306165727
104,CHEMBL497332,CN(Cc1ccc2nccnc2c1)C(=O)c1ccc(C(=O)C(F)(F)F)s1,active,379.363,3.7085000000000026,0.0,5.0,7.050609993355087
105,CHEMBL525529,O=C(c1ccc(C(=O)C(F)(F)F)s1)N1CCc2ccccc21,active,325.311,3.6960000000000015,0.0,3.0,6.698970004336019
106,CHEMBL497331,O=C(NCC1CCCCC1)c1ccc(C(=O)C(F)(F)F)s1,active,319.34799999999996,3.803200000000003,1.0,3.0,6.337242168318426
107,CHEMBL497123,COc1ccc(CNC(=O)c2ccc(C(=O)C(F)(F)F)s2)cc1,active,343.32599999999996,3.431700000000002,1.0,4.0,6.619788758288394
108,CHEMBL462208,C[C@H](NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccccc1,active,327.327,3.9841000000000024,1.0,3.0,6.6777807052660805
109,CHEMBL507716,C[C@@H](NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccccc1,active,327.327,3.9841000000000024,1.0,3.0,6.443697499232712
110,CHEMBL462209,CN(Cc1ccccc1)C(=O)c1ccc(C(=O)C(F)(F)F)s1,active,327.32699999999994,3.7653000000000025,0.0,3.0,6.638272163982407
111,CHEMBL523588,O=C(NCCc1ccccc1)c1ccc(C(=O)C(F)(F)F)s1,active,327.327,3.465600000000002,1.0,3.0,6.6777807052660805
112,CHEMBL462146,CCNC(=O)c1ccc(C(=O)C(F)(F)F)s1,active,251.22899999999993,2.2428,1.0,3.0,6.508638306165727
113,CHEMBL471344,Cc1noc(-c2ccc(C(=O)C(F)(F)F)s2)n1,active,262.21199999999993,2.8515200000000007,0.0,5.0,6.187086643357144
114,CHEMBL519739,O=C(NCC1CCCCC1)c1ccc(C(=O)C(F)(F)F)cn1,intermediate,314.30699999999996,3.136700000000002,1.0,3.0,5.478861916295964
115,CHEMBL487347,O=C(c1ncc(C(=O)C(F)(F)F)s1)N1CCc2ccccc21,active,326.299,3.091000000000001,0.0,4.0,6.3872161432802645
116,CHEMBL519738,O=C(NCc1ccccc1Cl)c1ccc(C(=O)C(F)(F)F)s1,active,347.74499999999995,4.076500000000001,1.0,3.0,6.721246399047171
117,CHEMBL485771,O=C(c1ccc(C(=O)C(F)(F)F)s1)N1CCC(c2nnc(-c3ccccc3)o2)CC1,active,435.42700000000013,4.5629000000000035,0.0,6.0,6.795880017344075
